#Data Set Export - Total Storage.Web-Daily-tcm@08461200,
Timestamp (UTC-06:00),Value (m^3)
2026-03-26 00:00:00,437502290.236839
2026-03-27 00:00:00,435811241.8111754
2026-03-28 00:00:00,434304793.3855117
2026-03-29 00:00:00,433624430.6787154
2026-03-30 00:00:00,431199096.5341849
2026-03-31 00:00:00,429599848.1085219
2026-04-01 00:00:00,427450799.68285966
2026-04-02 00:00:00,424382508.8852075
2026-04-03 00:00:00,422232702.83153254
2026-04-04 00:00:00,419990854.4058673
2026-04-05 00:00:00,423259005.9802045
2026-04-06 00:00:00,428455957.554541
2026-04-07 00:00:00,428017971.57895565
2026-04-08 00:00:00,428634566.36593795
2026-04-09 00:00:00,429251161.1529202
2026-04-10 00:00:00,429408755.93990237
2026-04-11 00:00:00,430760399.42127687
2026-04-12 00:00:00,430274745.5138666
2026-04-13 00:00:00,431351340.3008467
2026-04-14 00:00:00,432023599.99999976
2026-04-15 00:00:00,433677000
2026-04-16 00:00:00,435880199.99999946
2026-04-17 00:00:00,438451599.99999976
2026-04-18 00:00:00,444675650.2553088
2026-04-19 00:00:00,457356467.57766753
2026-04-20 00:00:00,465108658.2982571
2026-04-21 00:00:00,468982599.99999976
2026-04-22 00:00:00,471477200.0000006
2026-04-23 00:00:00,472873800.0000003
2026-04-24 00:00:00,473472599.99999976
2026-04-25 00:00:00,474828030.58917797
2026-04-26 00:00:00,475991093.2643479
2026-04-27 00:00:00,476955555.939518
2026-04-28 00:00:00,476954076.1817863
2026-04-29 00:00:00,476693805.17347354
2026-04-30 00:00:00,476533334.1651627
2026-05-01 00:00:00,476871863.1568519
2026-05-02 00:00:00,478507792.1485414
2026-05-03 00:00:00,475952121.1402306
2026-05-04 00:00:00,474096050.1319178
2026-05-05 00:00:00,475021858.28496456
2026-05-06 00:00:00,475389405.4343783
2026-05-07 00:00:00,476365799.99999917
2026-05-08 00:00:00,476864800.0000006
2026-05-09 00:00:00,476565400.00000024
2026-05-10 00:00:00,477962599.99999976
2026-05-11 00:00:00,480057400.00000024
2026-05-12 00:00:00,481755765.69148666
